%time,field.t,field.cs1.x,field.cs1.y,field.cs1.theta,field.cs1.speed,field.cs1.acceleration,field.cs1.id,field.cs2.x,field.cs2.y,field.cs2.theta,field.cs2.speed,field.cs2.acceleration,field.cs2.id
1523798986496299028,0.0,-76.9414138794,-3.5,0.000352830684278,13.8888893127,7.0,1,-3.5,104.741371155,4.71274185181,13.8888893127,7.0,2
1523798986596597909,0.000217914581299,-75.5499954224,-3.49950909615,0.0346974059939,13.8888893127,7.0,1,-3.49950909615,103.349952698,4.74708604813,13.8888893127,7.0,2
1523798986696352005,0.100399971008,-74.1611404419,-3.45129990578,0.0153587134555,13.8888893127,7.0,1,-3.4513001442,101.961097717,4.72775125504,13.8888893127,7.0,2
1523798986796916007,0.200458049774,-72.7721481323,-3.42996525764,0.0411148481071,13.8888893127,7.0,1,-3.42996048927,100.572105408,4.75350284576,13.8888893127,7.0,2
1523798986899262905,0.300477027893,-71.3845901489,-3.37288355827,0.011454930529,13.8888893127,7.0,1,-3.37288069725,99.1845474243,4.72385454178,13.8888893127,7.0,2
1523798986996072053,0.400465965271,-69.9961929321,-3.35697889328,0.0364484451711,13.8888893127,7.0,1,-3.35696077347,97.7961502075,4.74883890152,13.8888893127,7.0,2
1523798987096056938,0.500437021255,-68.6091537476,-3.30640125275,0.00144008314237,13.8888893127,7.0,1,-3.30638122559,96.4091186523,4.71383285522,13.8888893127,7.0,2
1523798987196319103,0.600369930267,-67.2206573486,-3.30440163612,0.0299356412143,13.8888893127,7.0,1,-3.30437612534,95.020614624,4.74231719971,13.8888893127,7.0,2
1523798987295803070,0.700341939926,-65.8313598633,-3.26279973984,-0.0085440594703,13.8888893127,7.0,1,-3.26278424263,93.6313247681,4.70384216309,13.8888893127,7.0,2
1523798987396459102,0.800415992737,-64.4414138794,-3.2746758461,0.0254428368062,13.8888893127,7.0,1,-3.27466416359,92.2413711548,4.73781919479,13.8888893127,7.0,2
1523798987496311902,0.900496006012,-63.0537643433,-3.23936271667,-0.0164357088506,13.8888893127,7.0,1,-3.23936867714,90.853729248,4.69595336914,13.8888893127,7.0,2
1523798987596716880,1.0004389286,-61.6642723083,-3.26220202446,0.0238991994411,13.8888893127,7.0,1,-3.26220774651,89.4642333984,4.73627758026,13.8888893127,7.0,2
1523798987696176052,1.1004960537,-60.2765274048,-3.22902989388,-0.0223179720342,13.8888893127,7.0,1,-3.22904992104,88.0764846802,4.69007158279,13.8888893127,7.0,2
1523798987796778917,1.20044207573,-58.8884315491,-3.260014534,0.0248954482377,13.8888893127,7.0,1,-3.26003360748,86.6883926392,4.73727226257,13.8888893127,7.0,2
1523798987896447896,1.30041003227,-57.4988899231,-3.2254140377,-0.0270020794123,13.8888893127,7.0,1,-3.22545051575,85.2988510132,4.6853928566,13.8888893127,7.0,2
1523798987996576070,1.40048789978,-56.1111183167,-3.26289582253,0.0278153102845,13.8888893127,7.0,1,-3.26292419434,83.9110794067,4.74019956589,13.8888893127,7.0,2
1523798988101222991,1.50044393539,-54.7160072327,-3.22408032417,-0.0313689149916,13.8888893127,7.0,1,-3.22411513329,82.5159606934,4.68103122711,13.8888893127,7.0,2
1523798988195884943,1.60093092918,-53.3362121582,-3.26737737656,0.0320989452302,13.8888893127,7.0,1,-3.26739668846,81.1361694336,4.74448728561,13.8888893127,7.0,2
1523798988295696020,1.70032501221,-51.9484710693,-3.22281694412,-0.0362023711205,13.8888893127,7.0,1,-3.22283697128,79.7484283447,4.67619419098,13.8888893127,7.0,2
1523798988395528078,1.80029392242,-50.5604743958,-3.27308750153,0.0377926155925,13.8888893127,7.0,1,-3.27309703827,78.3604354858,4.75018167496,13.8888893127,7.0,2
1523798988496417045,1.90029501915,-49.1712875366,-3.22056150436,-0.0420728288591,13.8888893127,7.0,1,-3.22057104111,76.971244812,4.67034244537,13.8888893127,7.0,2
1523798988596501111,2.00038790703,-47.7829208374,-3.27900862694,0.0450137592852,13.8888893127,7.0,1,-3.27898168564,75.5828781128,4.75739145279,13.8888893127,7.0,2
1523798988695537090,2.10043907166,-46.3966712952,-3.21656632423,-0.0499159507453,13.8888893127,7.0,1,-3.21655535698,74.1966247559,4.66247463226,13.8888893127,7.0,2
1523798988795520067,2.20035004616,-45.0103759766,-3.28582215309,0.0546059608459,13.8888893127,7.0,1,-3.28580904007,72.810333252,4.76698589325,13.8888893127,7.0,2
1523798988896648883,2.30028796196,-43.6220283508,-3.20993494987,-0.0609875395894,13.8888893127,7.0,1,-3.20993423462,71.4219818115,4.65142822266,13.8888893127,7.0,2
1523798988996546983,2.40039801598,-42.2336845398,-3.29471182823,0.0684501752257,13.8888893127,7.0,1,-3.29467439651,70.0336380005,4.78080368042,13.8888893127,7.0,2
1523798989096900939,2.50054502487,-40.8486061096,-3.19975447655,-0.0782672315836,13.8888893127,7.0,1,-3.19976592064,68.6485519409,4.63420248032,13.8888893127,7.0,2
1523798989196187973,2.60050487518,-39.4643135071,-3.30832099915,0.083604849875,13.8888893127,7.0,1,-3.30822062492,67.264251709,4.79607439041,13.8888893127,7.0,2
1523798989296750068,2.70047998428,-38.0798187256,-3.19230008125,-0.0783610343933,13.8888893127,7.0,1,-3.19208788872,65.8797683716,4.6341085434,13.8888893127,7.0,2
1523798989396013021,2.8005130291,-36.6967964172,-3.30089735985,0.0833635777235,13.8888893127,7.0,1,-3.30057358742,64.4967346191,4.79583311081,13.8888893127,7.0,2
1523798989496068000,2.9003970623,-35.3138542175,-3.18534255028,-0.0784173980355,13.8888893127,7.0,1,-3.18490695953,63.1138038635,4.63405227661,13.8888893127,7.0,2
1523798989596535921,3.00031590462,-33.9265060425,-3.2943584919,0.0838140770793,13.8888893127,7.0,1,-3.29381084442,61.7264442444,4.79628372192,13.8888893127,7.0,2
1523798989695761919,3.10051298141,-32.5445556641,-3.17825961113,-0.0778568834066,13.8888893127,7.0,1,-3.17760038376,60.3445053101,4.63461303711,13.8888893127,7.0,2
