%time,field.t,field.cs1.x,field.cs1.y,field.cs1.theta,field.cs1.speed,field.cs1.acceleration,field.cs1.id,field.cs2.x,field.cs2.y,field.cs2.theta,field.cs2.speed,field.cs2.acceleration,field.cs2.id
1523124714234586954,0.0,-76.9419937134,-3.5,0.000284889538307,13.8888893127,7.0,1,-3.5,262.997558594,4.71267366409,13.8888893127,7.0,2
1523124714335041999,0.000175952911377,-75.547164917,-3.49960255623,0.0348220914602,13.8888893127,7.0,1,-3.49960255623,261.602722168,4.74721097946,13.8888893127,7.0,2
1523124714435317993,0.100604057312,-74.1610488892,-3.4513156414,0.0152304982767,13.8888893127,7.0,1,-3.45131587982,260.21661377,4.72761583328,13.8888893127,7.0,2
1523124714534620046,0.200464963913,-72.7735366821,-3.4301815033,0.0412718802691,13.8888893127,7.0,1,-3.43018698692,258.829101562,4.75366401672,13.8888893127,7.0,2
1523124714634490013,0.300377130508,-71.3869476318,-3.37292170525,0.0113102775067,13.8888893127,7.0,1,-3.37292289734,257.442504883,4.72369718552,13.8888893127,7.0,2
1523124714734555959,0.400296926498,-69.9975738525,-3.35720682144,0.0366358086467,13.8888893127,7.0,1,-3.35721063614,256.053131104,4.74902868271,13.8888893127,7.0,2
1523124714834562063,0.500338077545,-68.6096725464,-3.30633735657,0.00126234232448,13.8888893127,7.0,1,-3.30633544922,254.665237427,4.71364784241,13.8888893127,7.0,2
1523124714934485912,0.600333929062,-67.2211074829,-3.30458450317,0.030142808333,13.8888893127,7.0,1,-3.3045873642,253.276672363,4.7425365448,13.8888893127,7.0,2
1523124715034600019,0.700310945511,-65.8318862915,-3.26269698143,-0.00874392036349,13.8888893127,7.0,1,-3.26269316673,251.887451172,4.70364189148,13.8888893127,7.0,2
1523124715134391069,0.800379991531,-64.443939209,-3.27483320236,0.0256800930947,13.8888893127,7.0,1,-3.27483415604,250.49949646,4.73807430267,13.8888893127,7.0,2
1523124715235049009,0.900315999985,-63.0541915894,-3.23913645744,-0.0166754163802,13.8888893127,7.0,1,-3.23912978172,249.10975647,4.69571733475,13.8888893127,7.0,2
1523124715334419012,1.00041103363,-61.6667747498,-3.26227450371,0.0241631753743,13.8888893127,7.0,1,-3.26226258278,247.722335815,4.73656177521,13.8888893127,7.0,2
1523124715434719085,1.10031890869,-60.2775230408,-3.22869920731,-0.0226205457002,13.8888893127,7.0,1,-3.22867393494,246.333084106,4.68976736069,13.8888893127,7.0,2
1523124715534672975,1.20037412643,-58.8893280029,-3.26010632515,0.0252081435174,13.8888893127,7.0,1,-3.26008272171,244.944885254,4.73760318756,13.8888893127,7.0,2
1523124715634723901,1.30034995079,-57.5009078979,-3.2250995636,-0.027346432209,13.8888893127,7.0,1,-3.22506713867,243.556472778,4.68503665924,13.8888893127,7.0,2
1523124715734949111,1.40034794807,-56.1119537354,-3.2630918026,0.0281882639974,13.8888893127,7.0,1,-3.26306772232,242.167510986,4.74057769775,13.8888893127,7.0,2
1523124715835088014,1.5003900528,-54.7228507996,-3.22392511368,-0.0317146405578,13.8888893127,7.0,1,-3.22390031815,240.778411865,4.68066692352,13.8888893127,7.0,2
1523124715934638023,1.60044503212,-53.3363838196,-3.26791119576,0.0326387062669,13.8888893127,7.0,1,-3.2678964138,239.391952515,4.745033741,13.8888893127,7.0,2
1523124716034540891,1.70032095909,-51.9481239319,-3.22258400917,-0.036655344069,13.8888893127,7.0,1,-3.22256112099,238.003692627,4.67572116852,13.8888893127,7.0,2
1523124716134810924,1.80032896996,-50.5598335266,-3.2734951973,0.0383900664747,13.8888893127,7.0,1,-3.27348971367,236.615402222,4.75078392029,13.8888893127,7.0,2
1523124716234509944,1.90035295486,-49.1721076965,-3.22019386292,-0.0427227467299,13.8888893127,7.0,1,-3.22018194199,235.227676392,4.66965103149,13.8888893127,7.0,2
1523124716334914922,2.00034308434,-47.7847213745,-3.27950286865,0.0457671657205,13.8888893127,7.0,1,-3.27951192856,233.840286255,4.75816345215,13.8888893127,7.0,2
1523124716434545040,2.10032606125,-46.3969802856,-3.21594548225,-0.0507918223739,13.8888893127,7.0,1,-3.21594429016,232.452545166,4.66157960892,13.8888893127,7.0,2
1523124716534611940,2.20034813881,-45.0100479126,-3.2864511013,0.0556418970227,13.8888893127,7.0,1,-3.28647422791,231.065612793,4.76804924011,13.8888893127,7.0,2
1523124716634500980,2.30033612251,-43.6230201721,-3.20919442177,-0.0622713305056,13.8888893127,7.0,1,-3.20919251442,229.678588867,4.65009450912,13.8888893127,7.0,2
1523124716734561920,2.40035700798,-42.2376670837,-3.2955737114,0.0700392872095,13.8888893127,7.0,1,-3.29560375214,228.293228149,4.78245735168,13.8888893127,7.0,2
1523124716834551095,2.50029611588,-40.8522796631,-3.1983833313,-0.0804985538125,13.8888893127,7.0,1,-3.19837331772,226.907852173,4.63184785843,13.8888893127,7.0,2
1523124716934406042,2.60028910637,-39.4677772522,-3.31007504463,0.0814267992973,13.8888893127,7.0,1,-3.31012415886,225.523361206,4.79377317429,13.8888893127,7.0,2
