(0.05, [(-3.25, 124.29730224609375, 4.71238899230957, 13.88888931274414), (3.25, -74.29618062796416, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(0.1, [(-3.25, 123.60929107666016, 4.71238899230957, 13.88888931274414), (3.25, -73.58511487642924, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(0.3, [(-3.25, 120.8316421508789, 4.71238899230957, 13.88888931274414), (3.25, -70.83064737143341, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(0.85, [(-3.25, 113.19245910644531, 4.71238899230957, 13.88888931274414), (3.25, -63.1921344333225, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(1.35, [(-3.25, 106.24829864501953, 4.71238899230957, 13.88888931274414), (3.25, -56.248281620166935, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(1.9, [(-3.25, 98.60932159423828, 4.71238899230957, 13.88888931274414), (3.25, -48.6045974272269, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(2.35, [(-3.25, 92.35932922363281, 4.71238899230957, 13.88888931274414), (3.25, -42.34868045206425, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(2.85, [(-3.25, 85.41493225097656, 4.71238899230957, 13.88888931274414), (3.25, -35.41437983512879, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(3.3, [(-3.25, 79.16456604003906, 4.71238899230957, 13.88888931274414), (3.25, -29.160448577668948, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(3.75, [(-3.25, 72.91493225097656, 4.71238899230957, 13.88888931274414), (3.25, -23.069370059043948, 1.5707963267948966, 12.477728182262965)], (1, 'left', 'stop'))
(4.2, [(-3.25, 66.66500854492188, 4.71238899230957, 13.88888931274414), (3.25, -17.905192979801924, 1.5707963267948966, 10.200584777257589)], (1, 'left', 'stop'))
(4.7, [(-3.25, 59.719139099121094, 4.71238899230957, 13.88888931274414), (3.25, -13.383179323008765, 1.5707963267948966, 7.670188604596869)], (1, 'left', 'stop'))
(5.1, [(-3.25, 54.164878845214844, 4.71238899230957, 13.88888931274414), (3.25, -10.66949143526431, 1.5707963267948966, 5.629823652002173)], (1, 'left', 'stop'))
(5.7, [(-3.25, 45.83120346069336, 4.71238899230957, 13.88888931274414), (3.249938499822801, -8.140936417839155, 1.5710905257067191, 2.531672209902295)], (1, 'left', 'stop'))
(6.5, [(-3.25, 34.71086502075195, 4.71238899230957, 13.88888931274414), (3.249605025396056, -7.491013727011792, 1.571506561540862, 0.0)], (1, 'left', 'stop'))
(7.4, [(-3.25, 22.23457908630371, 4.71238899230957, 13.297178268432617), (3.249605025396056, -7.491013727011792, 1.571506561540862, 0.0)], (1, 'left', 'stop'))
(7.95, [(-3.25, 15.756675720214844, 4.71238899230957, 9.953899383544922), (3.249605025396056, -7.491013727011792, 1.571506561540862, 0.0)], (1, 'left', 'stop'))
(8.35, [(-3.25, 12.201319694519043, 4.71238899230957, 7.51104736328125), (3.249605025396056, -7.491013727011792, 1.571506561540862, 0.0)], (1, 'left', 'stop'))
(8.95, [(-3.2644472122192383, 7.993826389312744, 4.673029899597168, 6.94444465637207), (3.249605025396056, -7.491013727011792, 1.571506561540862, 0.0)], (1, 'left', 'stop'))
(9.55, [(-4.316091537475586, 3.6841750144958496, 4.196657657623291, 8.109265327453613), (3.249605025396056, -7.491013727011792, 1.571506561540862, 0.0)], (1, 'left', 'stop'))
(10.0, [(-6.801616668701172, 0.8155611753463745, 3.750572919845581, 8.995946884155273), (3.249605025396056, -7.491013727011792, 1.571506561540862, 0.0)], (1, 'left', 'stop'))
(10.5, [(-11.431307792663574, -0.8602001667022705, 3.168680191040039, 11.34429931640625), (3.249605025396056, -7.491013727011792, 1.571506561540862, 0.0)], (1, 'left', 'stop'))
(11.0, [(-17.25252914428711, 0.852776050567627, 2.609365463256836, 13.40345573425293), (3.249605025396056, -7.491013727011792, 1.571506561540862, 0.0)], (1, 'left', 'stop'))
(11.45, [(-23.0051326751709, 3.052624464035034, 2.9982361793518066, 13.88888931274414), (3.249605025396056, -7.491013727011792, 1.571506561540862, 0.0)], (1, 'left', 'go'))
(11.95, [(-29.934249877929688, 3.3677639961242676, 3.155498504638672, 13.88888931274414), (3.249489022846683, -7.340271684180262, 1.571821470489883, 1.5037102699279785)], (1, 'left', 'go'))
(12.45, [(-36.877628326416016, 3.269582748413086, 3.1495516300201416, 13.88888931274414), (3.2307265750284504, -5.911974975374224, 1.6147425636204877, 4.5060882568359375)], (1, 'left', 'go'))
(12.95, [(-43.82197952270508, 3.246109962463379, 3.1416256427764893, 13.88888931274414), (2.747785652027474, -3.033762021004897, 1.9173966442659642, 7.507110118865967)], (1, 'left', 'go'))
(13.45, [(-50.77132034301758, 3.248732566833496, 3.1412177085876465, 13.88888931274414), (0.338264990435468, 0.6473011872725993, 2.4358001444580357, 10.517914295196533)], (1, 'left', 'go'))
