(0.002, [(3.25, -84.9712905883789, 1.5707963705062866, 13.901290893554688), (-3.25, 124.97083346048991, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.008, [(3.25, -84.88777160644531, 1.5707963705062866, 13.937309265136719), (-3.25, 124.88796975877551, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.01, [(3.25, -84.84806060791016, 1.5707963705062866, 13.9544038772583), (-3.25, 124.86005557907953, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.012, [(3.25, -84.83222961425781, 1.5707963705062866, 13.961210250854492), (-3.25, 124.83244140942892, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.014, [(3.25, -84.80345153808594, 1.5707963705062866, 13.973580360412598), (-3.25, 124.80466696951126, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.016, [(3.25, -84.7761459350586, 1.5707963705062866, 13.98530387878418), (-3.25, 124.77673027250503, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.018, [(3.25, -84.74818420410156, 1.5707963705062866, 13.997298240661621), (-3.25, 124.74891675843135, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.02, [(3.25, -84.71915435791016, 1.5707963705062866, 14.009744644165039), (-3.25, 124.72125556733876, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.022, [(3.25, -84.6921157836914, 1.5707963705062866, 14.021323204040527), (-3.25, 124.69335860676239, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.024, [(3.25, -84.66402435302734, 1.5707963705062866, 14.033342361450195), (-3.25, 124.66557489501109, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.026, [(3.25, -84.63593292236328, 1.5707963705062866, 14.045355796813965), (-3.25, 124.63784416516626, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.028, [(3.25, -84.60374450683594, 1.5707963705062866, 14.059103965759277), (-3.25, 124.61018363634749, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.03, [(3.25, -84.57335662841797, 1.5707963705062866, 14.072073936462402), (-3.25, 124.58155022727122, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.032, [(3.25, -84.55109405517578, 1.5707963705062866, 14.08156681060791), (-3.25, 124.55449435446, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.034, [(3.25, -84.52375793457031, 1.5707963705062866, 14.093213081359863), (-3.25, 124.52688614527388, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.038, [(3.25, -84.46730041503906, 1.5707963705062866, 14.117238998413086), (-3.25, 124.4712054729462, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.04, [(3.25, -84.43738555908203, 1.5707963705062866, 14.129953384399414), (-3.25, 124.44357209735449, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.042, [(3.25, -84.41093444824219, 1.5707963705062866, 14.141185760498047), (-3.25, 124.41584467887881, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.044, [(3.25, -84.38249969482422, 1.5707963705062866, 14.15324878692627), (-3.25, 124.38783645629886, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.048, [(3.25, -84.32579040527344, 1.5707963705062866, 14.177281379699707), (-3.25, 124.33243062761098, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
(0.05, [(3.25, -84.29765319824219, 1.5707963705062866, 14.189188003540039), (-3.25, 124.30074479844838, 4.71238898038469, 13.88888888888889)], (1, 'straight', 'go'))
